INFO:root:=================================
INFO:root:0: ABF2_col_v3a
INFO:root:[1/1000]: train_auc: 78.59, train_loss: 0.6748, test_auc: 92.67, test_loss: 0.6456
INFO:root:[27/1000]: train_auc: 99.74, train_loss: 0.0482, test_auc: 99.09, test_loss: 0.0742
INFO:root:[28/1000]: train_auc: 99.77, train_loss: 0.0458, test_auc: 99.09, test_loss: 0.0739
INFO:root:[29/1000]: train_auc: 99.79, train_loss: 0.0436, test_auc: 99.09, test_loss: 0.0738
INFO:root:[30/1000]: train_auc: 99.81, train_loss: 0.0419, test_auc: 99.10, test_loss: 0.0730
INFO:root:[31/1000]: train_auc: 99.84, train_loss: 0.0407, test_auc: 99.10, test_loss: 0.0731
INFO:root:[32/1000]: train_auc: 99.85, train_loss: 0.0389, test_auc: 99.10, test_loss: 0.0728
INFO:root:[33/1000]: train_auc: 99.87, train_loss: 0.0376, test_auc: 99.11, test_loss: 0.0716
INFO:root:[34/1000]: train_auc: 99.89, train_loss: 0.0349, test_auc: 99.12, test_loss: 0.0713
INFO:root:[35/1000]: train_auc: 99.90, train_loss: 0.0337, test_auc: 99.12, test_loss: 0.0711
INFO:root:[36/1000]: train_auc: 99.92, train_loss: 0.0315, test_auc: 99.12, test_loss: 0.0721
INFO:root:[37/1000]: train_auc: 99.93, train_loss: 0.0297, test_auc: 99.11, test_loss: 0.0716
INFO:root:[38/1000]: train_auc: 99.94, train_loss: 0.0281, test_auc: 99.12, test_loss: 0.0715
INFO:root:[39/1000]: train_auc: 99.94, train_loss: 0.0278, test_auc: 99.12, test_loss: 0.0740
INFO:root:[40/1000]: train_auc: 99.95, train_loss: 0.0262, test_auc: 99.11, test_loss: 0.0726
INFO:root:exec time: 20 s, best_auc: 99.12
INFO:root:=================================
INFO:root:1: ABI5_colamp_v3b
INFO:root:[1/1000]: train_auc: 85.02, train_loss: 0.6501, test_auc: 93.08, test_loss: 0.5664
INFO:root:[2/1000]: train_auc: 93.45, train_loss: 0.4288, test_auc: 94.58, test_loss: 0.3163
INFO:root:[3/1000]: train_auc: 95.13, train_loss: 0.2814, test_auc: 95.41, test_loss: 0.2677
INFO:root:[4/1000]: train_auc: 95.84, train_loss: 0.2503, test_auc: 95.91, test_loss: 0.2460
INFO:root:[5/1000]: train_auc: 96.35, train_loss: 0.2283, test_auc: 96.33, test_loss: 0.2269
INFO:root:[6/1000]: train_auc: 96.86, train_loss: 0.2061, test_auc: 96.74, test_loss: 0.2055
INFO:root:[7/1000]: train_auc: 97.27, train_loss: 0.1862, test_auc: 97.03, test_loss: 0.1876
INFO:root:[8/1000]: train_auc: 97.55, train_loss: 0.1694, test_auc: 97.21, test_loss: 0.1733
INFO:root:[9/1000]: train_auc: 97.77, train_loss: 0.1544, test_auc: 97.33, test_loss: 0.1636
INFO:root:[10/1000]: train_auc: 97.94, train_loss: 0.1457, test_auc: 97.40, test_loss: 0.1562
INFO:root:[11/1000]: train_auc: 98.09, train_loss: 0.1368, test_auc: 97.45, test_loss: 0.1513
INFO:root:[12/1000]: train_auc: 98.23, train_loss: 0.1319, test_auc: 97.50, test_loss: 0.1480
INFO:root:[13/1000]: train_auc: 98.36, train_loss: 0.1263, test_auc: 97.53, test_loss: 0.1451
INFO:root:[14/1000]: train_auc: 98.47, train_loss: 0.1232, test_auc: 97.55, test_loss: 0.1436
INFO:root:[15/1000]: train_auc: 98.58, train_loss: 0.1194, test_auc: 97.56, test_loss: 0.1442
INFO:root:[16/1000]: train_auc: 98.67, train_loss: 0.1161, test_auc: 97.57, test_loss: 0.1430
INFO:root:[17/1000]: train_auc: 98.76, train_loss: 0.1120, test_auc: 97.58, test_loss: 0.1416
INFO:root:[18/1000]: train_auc: 98.85, train_loss: 0.1087, test_auc: 97.57, test_loss: 0.1426
INFO:root:[19/1000]: train_auc: 98.94, train_loss: 0.1056, test_auc: 97.58, test_loss: 0.1428
INFO:root:[20/1000]: train_auc: 99.01, train_loss: 0.1018, test_auc: 97.57, test_loss: 0.1428
INFO:root:[21/1000]: train_auc: 99.10, train_loss: 0.0990, test_auc: 97.56, test_loss: 0.1474
INFO:root:[22/1000]: train_auc: 99.15, train_loss: 0.0963, test_auc: 97.56, test_loss: 0.1439
INFO:root:[23/1000]: train_auc: 99.22, train_loss: 0.0949, test_auc: 97.55, test_loss: 0.1447
INFO:root:[24/1000]: train_auc: 99.29, train_loss: 0.0922, test_auc: 97.58, test_loss: 0.1465
INFO:root:[25/1000]: train_auc: 99.38, train_loss: 0.0864, test_auc: 97.57, test_loss: 0.1479
INFO:root:[26/1000]: train_auc: 99.43, train_loss: 0.0830, test_auc: 97.56, test_loss: 0.1482
INFO:root:[27/1000]: train_auc: 99.49, train_loss: 0.0793, test_auc: 97.56, test_loss: 0.1482
INFO:root:[28/1000]: train_auc: 99.55, train_loss: 0.0775, test_auc: 97.55, test_loss: 0.1506
INFO:root:[29/1000]: train_auc: 99.61, train_loss: 0.0738, test_auc: 97.59, test_loss: 0.1536
INFO:root:[30/1000]: train_auc: 99.65, train_loss: 0.0691, test_auc: 97.56, test_loss: 0.1535
INFO:root:[31/1000]: train_auc: 99.70, train_loss: 0.0661, test_auc: 97.55, test_loss: 0.1562
INFO:root:[32/1000]: train_auc: 99.73, train_loss: 0.0621, test_auc: 97.56, test_loss: 0.1581
INFO:root:[33/1000]: train_auc: 99.78, train_loss: 0.0583, test_auc: 97.54, test_loss: 0.1599
INFO:root:[34/1000]: train_auc: 99.82, train_loss: 0.0554, test_auc: 97.56, test_loss: 0.1617
INFO:root:exec time: 22 s, best_auc: 97.59
INFO:root:=================================
INFO:root:2: ABR1_col_a
INFO:root:[1/1000]: train_auc: 82.34, train_loss: 0.6681, test_auc: 94.49, test_loss: 0.6285
INFO:root:[2/1000]: train_auc: 94.77, train_loss: 0.5585, test_auc: 95.57, test_loss: 0.4663
INFO:root:[3/1000]: train_auc: 95.92, train_loss: 0.3690, test_auc: 96.21, test_loss: 0.2945
INFO:root:[4/1000]: train_auc: 96.60, train_loss: 0.2506, test_auc: 96.70, test_loss: 0.2327
INFO:root:[5/1000]: train_auc: 97.07, train_loss: 0.2155, test_auc: 96.97, test_loss: 0.2164
INFO:root:[6/1000]: train_auc: 97.31, train_loss: 0.2031, test_auc: 97.17, test_loss: 0.2080
INFO:root:[7/1000]: train_auc: 97.51, train_loss: 0.1963, test_auc: 97.33, test_loss: 0.2013
INFO:root:[8/1000]: train_auc: 97.69, train_loss: 0.1868, test_auc: 97.54, test_loss: 0.1931
INFO:root:[9/1000]: train_auc: 97.92, train_loss: 0.1748, test_auc: 97.73, test_loss: 0.1844
INFO:root:[10/1000]: train_auc: 98.15, train_loss: 0.1642, test_auc: 97.97, test_loss: 0.1735
INFO:root:[11/1000]: train_auc: 98.39, train_loss: 0.1517, test_auc: 98.22, test_loss: 0.1600
INFO:root:[12/1000]: train_auc: 98.59, train_loss: 0.1397, test_auc: 98.45, test_loss: 0.1490
INFO:root:[13/1000]: train_auc: 98.80, train_loss: 0.1273, test_auc: 98.66, test_loss: 0.1361
INFO:root:[14/1000]: train_auc: 98.98, train_loss: 0.1152, test_auc: 98.84, test_loss: 0.1242
INFO:root:[15/1000]: train_auc: 99.12, train_loss: 0.1055, test_auc: 98.97, test_loss: 0.1146
INFO:root:[16/1000]: train_auc: 99.24, train_loss: 0.0967, test_auc: 99.09, test_loss: 0.1063
INFO:root:[17/1000]: train_auc: 99.34, train_loss: 0.0888, test_auc: 99.15, test_loss: 0.0999
INFO:root:[18/1000]: train_auc: 99.42, train_loss: 0.0809, test_auc: 99.22, test_loss: 0.0945
INFO:root:[19/1000]: train_auc: 99.47, train_loss: 0.0760, test_auc: 99.25, test_loss: 0.0896
INFO:root:[20/1000]: train_auc: 99.52, train_loss: 0.0706, test_auc: 99.29, test_loss: 0.0862
INFO:root:[21/1000]: train_auc: 99.57, train_loss: 0.0681, test_auc: 99.31, test_loss: 0.0838
INFO:root:[22/1000]: train_auc: 99.60, train_loss: 0.0626, test_auc: 99.32, test_loss: 0.0823
INFO:root:[23/1000]: train_auc: 99.64, train_loss: 0.0611, test_auc: 99.33, test_loss: 0.0798
INFO:root:[24/1000]: train_auc: 99.67, train_loss: 0.0580, test_auc: 99.34, test_loss: 0.0794
INFO:root:[25/1000]: train_auc: 99.70, train_loss: 0.0541, test_auc: 99.35, test_loss: 0.0791
INFO:root:[26/1000]: train_auc: 99.72, train_loss: 0.0530, test_auc: 99.36, test_loss: 0.0761
INFO:root:[27/1000]: train_auc: 99.75, train_loss: 0.0487, test_auc: 99.36, test_loss: 0.0757
INFO:root:[28/1000]: train_auc: 99.78, train_loss: 0.0468, test_auc: 99.36, test_loss: 0.0748
INFO:root:[29/1000]: train_auc: 99.80, train_loss: 0.0448, test_auc: 99.36, test_loss: 0.0749
INFO:root:[30/1000]: train_auc: 99.82, train_loss: 0.0419, test_auc: 99.37, test_loss: 0.0743
INFO:root:[31/1000]: train_auc: 99.85, train_loss: 0.0413, test_auc: 99.36, test_loss: 0.0739
INFO:root:[32/1000]: train_auc: 99.86, train_loss: 0.0381, test_auc: 99.36, test_loss: 0.0738
INFO:root:[33/1000]: train_auc: 99.89, train_loss: 0.0358, test_auc: 99.36, test_loss: 0.0734
INFO:root:[34/1000]: train_auc: 99.90, train_loss: 0.0344, test_auc: 99.35, test_loss: 0.0742
INFO:root:[35/1000]: train_auc: 99.91, train_loss: 0.0320, test_auc: 99.36, test_loss: 0.0742
INFO:root:exec time: 16 s, best_auc: 99.37
INFO:root:=================================
INFO:root:3: AGL15_col_a
INFO:root:[1/1000]: train_auc: 64.00, train_loss: 0.6860, test_auc: 75.11, test_loss: 0.6740
INFO:root:[2/1000]: train_auc: 76.54, train_loss: 0.6583, test_auc: 77.29, test_loss: 0.6374
INFO:root:[3/1000]: train_auc: 77.94, train_loss: 0.6094, test_auc: 78.20, test_loss: 0.5834
INFO:root:[4/1000]: train_auc: 79.05, train_loss: 0.5614, test_auc: 79.03, test_loss: 0.5557
INFO:root:[5/1000]: train_auc: 80.18, train_loss: 0.5372, test_auc: 79.83, test_loss: 0.5412
INFO:root:[6/1000]: train_auc: 81.43, train_loss: 0.5194, test_auc: 80.35, test_loss: 0.5269
INFO:root:[7/1000]: train_auc: 82.46, train_loss: 0.5006, test_auc: 80.87, test_loss: 0.5141
INFO:root:[8/1000]: train_auc: 83.41, train_loss: 0.4821, test_auc: 81.36, test_loss: 0.4986
INFO:root:[9/1000]: train_auc: 84.41, train_loss: 0.4640, test_auc: 81.89, test_loss: 0.4866
INFO:root:[10/1000]: train_auc: 85.55, train_loss: 0.4446, test_auc: 82.41, test_loss: 0.4736
INFO:root:[11/1000]: train_auc: 86.83, train_loss: 0.4271, test_auc: 83.04, test_loss: 0.4620
INFO:root:[12/1000]: train_auc: 88.26, train_loss: 0.4087, test_auc: 83.70, test_loss: 0.4527
INFO:root:[13/1000]: train_auc: 89.53, train_loss: 0.3925, test_auc: 84.29, test_loss: 0.4452
INFO:root:[14/1000]: train_auc: 90.76, train_loss: 0.3760, test_auc: 84.72, test_loss: 0.4389
INFO:root:[15/1000]: train_auc: 91.85, train_loss: 0.3591, test_auc: 85.35, test_loss: 0.4327
INFO:root:[16/1000]: train_auc: 92.87, train_loss: 0.3432, test_auc: 85.57, test_loss: 0.4298
INFO:root:[17/1000]: train_auc: 93.47, train_loss: 0.3299, test_auc: 85.83, test_loss: 0.4346
INFO:root:[18/1000]: train_auc: 94.39, train_loss: 0.3134, test_auc: 86.23, test_loss: 0.4249
INFO:root:[19/1000]: train_auc: 94.97, train_loss: 0.2995, test_auc: 86.36, test_loss: 0.4255
INFO:root:[20/1000]: train_auc: 95.50, train_loss: 0.2850, test_auc: 86.54, test_loss: 0.4278
INFO:root:[21/1000]: train_auc: 96.15, train_loss: 0.2705, test_auc: 86.73, test_loss: 0.4311
INFO:root:[22/1000]: train_auc: 96.51, train_loss: 0.2567, test_auc: 86.79, test_loss: 0.4353
INFO:root:[23/1000]: train_auc: 96.91, train_loss: 0.2458, test_auc: 86.97, test_loss: 0.4406
INFO:root:[24/1000]: train_auc: 97.30, train_loss: 0.2320, test_auc: 87.03, test_loss: 0.4343
INFO:root:[25/1000]: train_auc: 97.65, train_loss: 0.2197, test_auc: 87.08, test_loss: 0.4403
INFO:root:[26/1000]: train_auc: 97.88, train_loss: 0.2099, test_auc: 87.16, test_loss: 0.4432
INFO:root:[27/1000]: train_auc: 98.16, train_loss: 0.1991, test_auc: 87.18, test_loss: 0.4518
INFO:root:[28/1000]: train_auc: 98.42, train_loss: 0.1880, test_auc: 87.20, test_loss: 0.4546
INFO:root:[29/1000]: train_auc: 98.57, train_loss: 0.1797, test_auc: 87.24, test_loss: 0.4585
INFO:root:[30/1000]: train_auc: 98.79, train_loss: 0.1687, test_auc: 87.22, test_loss: 0.4701
INFO:root:[31/1000]: train_auc: 98.94, train_loss: 0.1603, test_auc: 87.26, test_loss: 0.4743
INFO:root:[32/1000]: train_auc: 99.05, train_loss: 0.1525, test_auc: 87.19, test_loss: 0.4862
INFO:root:[33/1000]: train_auc: 99.21, train_loss: 0.1432, test_auc: 87.21, test_loss: 0.4955
INFO:root:[34/1000]: train_auc: 99.33, train_loss: 0.1357, test_auc: 87.21, test_loss: 0.5151
INFO:root:[35/1000]: train_auc: 99.39, train_loss: 0.1292, test_auc: 87.15, test_loss: 0.5213
INFO:root:[36/1000]: train_auc: 99.52, train_loss: 0.1212, test_auc: 87.17, test_loss: 0.5163
INFO:root:exec time: 16 s, best_auc: 87.26
INFO:root:=================================
INFO:root:4: AGL63_col_a
INFO:root:[1/1000]: train_auc: 83.75, train_loss: 0.5317, test_auc: 89.51, test_loss: 0.4138
INFO:root:[2/1000]: train_auc: 92.21, train_loss: 0.3478, test_auc: 93.54, test_loss: 0.3014
INFO:root:[3/1000]: train_auc: 94.77, train_loss: 0.2661, test_auc: 95.01, test_loss: 0.2536
INFO:root:[4/1000]: train_auc: 95.84, train_loss: 0.2344, test_auc: 95.62, test_loss: 0.2364
INFO:root:[5/1000]: train_auc: 96.30, train_loss: 0.2194, test_auc: 95.86, test_loss: 0.2285
INFO:root:[6/1000]: train_auc: 96.61, train_loss: 0.2104, test_auc: 96.00, test_loss: 0.2267
INFO:root:[7/1000]: train_auc: 96.85, train_loss: 0.2030, test_auc: 96.11, test_loss: 0.2223
INFO:root:[8/1000]: train_auc: 97.06, train_loss: 0.1971, test_auc: 96.23, test_loss: 0.2223
INFO:root:[9/1000]: train_auc: 97.23, train_loss: 0.1920, test_auc: 96.31, test_loss: 0.2191
INFO:root:[10/1000]: train_auc: 97.42, train_loss: 0.1861, test_auc: 96.40, test_loss: 0.2176
INFO:root:[11/1000]: train_auc: 97.59, train_loss: 0.1808, test_auc: 96.44, test_loss: 0.2170
INFO:root:[12/1000]: train_auc: 97.76, train_loss: 0.1749, test_auc: 96.49, test_loss: 0.2177
INFO:root:[13/1000]: train_auc: 97.91, train_loss: 0.1693, test_auc: 96.56, test_loss: 0.2158
INFO:root:[14/1000]: train_auc: 98.05, train_loss: 0.1644, test_auc: 96.59, test_loss: 0.2179
INFO:root:[15/1000]: train_auc: 98.16, train_loss: 0.1601, test_auc: 96.60, test_loss: 0.2172
INFO:root:[16/1000]: train_auc: 98.29, train_loss: 0.1548, test_auc: 96.45, test_loss: 0.2294
INFO:root:[17/1000]: train_auc: 98.40, train_loss: 0.1507, test_auc: 96.60, test_loss: 0.2212
INFO:root:[18/1000]: train_auc: 98.51, train_loss: 0.1457, test_auc: 96.51, test_loss: 0.2303
INFO:root:[19/1000]: train_auc: 98.58, train_loss: 0.1429, test_auc: 96.52, test_loss: 0.2263
INFO:root:[20/1000]: train_auc: 98.66, train_loss: 0.1386, test_auc: 96.56, test_loss: 0.2302
INFO:root:exec time: 28 s, best_auc: 96.60
INFO:root:=================================
INFO:root:5: AIL7_col_a
INFO:root:[1/1000]: train_auc: 58.75, train_loss: 0.6902, test_auc: 65.23, test_loss: 0.6864
INFO:root:[2/1000]: train_auc: 73.12, train_loss: 0.6797, test_auc: 71.11, test_loss: 0.6782
INFO:root:[3/1000]: train_auc: 76.42, train_loss: 0.6691, test_auc: 72.92, test_loss: 0.6681
INFO:root:[4/1000]: train_auc: 77.63, train_loss: 0.6553, test_auc: 73.80, test_loss: 0.6555
INFO:root:[5/1000]: train_auc: 78.03, train_loss: 0.6383, test_auc: 74.32, test_loss: 0.6401
INFO:root:[6/1000]: train_auc: 78.59, train_loss: 0.6171, test_auc: 74.74, test_loss: 0.6224
INFO:root:[7/1000]: train_auc: 78.81, train_loss: 0.5939, test_auc: 75.03, test_loss: 0.6045
INFO:root:[8/1000]: train_auc: 78.88, train_loss: 0.5717, test_auc: 75.25, test_loss: 0.5898
INFO:root:[9/1000]: train_auc: 79.12, train_loss: 0.5536, test_auc: 75.44, test_loss: 0.5809
INFO:root:[10/1000]: train_auc: 79.32, train_loss: 0.5430, test_auc: 75.59, test_loss: 0.5774
INFO:root:[11/1000]: train_auc: 79.62, train_loss: 0.5342, test_auc: 75.72, test_loss: 0.5775
INFO:root:[12/1000]: train_auc: 80.05, train_loss: 0.5280, test_auc: 75.83, test_loss: 0.5768
INFO:root:[13/1000]: train_auc: 80.63, train_loss: 0.5214, test_auc: 75.94, test_loss: 0.5769
INFO:root:[14/1000]: train_auc: 81.02, train_loss: 0.5163, test_auc: 76.08, test_loss: 0.5746
INFO:root:[15/1000]: train_auc: 81.57, train_loss: 0.5111, test_auc: 76.17, test_loss: 0.5733
INFO:root:[16/1000]: train_auc: 82.05, train_loss: 0.5060, test_auc: 76.28, test_loss: 0.5719
INFO:root:[17/1000]: train_auc: 82.56, train_loss: 0.5005, test_auc: 76.36, test_loss: 0.5712
INFO:root:[18/1000]: train_auc: 83.03, train_loss: 0.4960, test_auc: 76.45, test_loss: 0.5702
INFO:root:[19/1000]: train_auc: 83.55, train_loss: 0.4900, test_auc: 76.56, test_loss: 0.5694
INFO:root:[20/1000]: train_auc: 83.97, train_loss: 0.4838, test_auc: 76.68, test_loss: 0.5690
INFO:root:[21/1000]: train_auc: 84.63, train_loss: 0.4773, test_auc: 76.82, test_loss: 0.5679
INFO:root:[22/1000]: train_auc: 85.15, train_loss: 0.4695, test_auc: 76.91, test_loss: 0.5667
INFO:root:[23/1000]: train_auc: 85.72, train_loss: 0.4631, test_auc: 77.02, test_loss: 0.5667
INFO:root:[24/1000]: train_auc: 86.31, train_loss: 0.4559, test_auc: 77.08, test_loss: 0.5658
INFO:root:[25/1000]: train_auc: 87.00, train_loss: 0.4479, test_auc: 77.19, test_loss: 0.5650
INFO:root:[26/1000]: train_auc: 87.74, train_loss: 0.4385, test_auc: 77.34, test_loss: 0.5640
INFO:root:[27/1000]: train_auc: 88.44, train_loss: 0.4290, test_auc: 77.47, test_loss: 0.5620
INFO:root:[28/1000]: train_auc: 89.25, train_loss: 0.4190, test_auc: 77.59, test_loss: 0.5624
INFO:root:[29/1000]: train_auc: 90.08, train_loss: 0.4090, test_auc: 77.70, test_loss: 0.5610
INFO:root:[30/1000]: train_auc: 90.92, train_loss: 0.3971, test_auc: 77.86, test_loss: 0.5600
INFO:root:[31/1000]: train_auc: 91.75, train_loss: 0.3846, test_auc: 77.92, test_loss: 0.5582
INFO:root:[32/1000]: train_auc: 92.57, train_loss: 0.3722, test_auc: 78.08, test_loss: 0.5600
INFO:root:[33/1000]: train_auc: 93.49, train_loss: 0.3589, test_auc: 78.23, test_loss: 0.5558
INFO:root:[34/1000]: train_auc: 94.19, train_loss: 0.3453, test_auc: 78.27, test_loss: 0.5602
INFO:root:[35/1000]: train_auc: 95.01, train_loss: 0.3309, test_auc: 78.44, test_loss: 0.5562
INFO:root:[36/1000]: train_auc: 95.95, train_loss: 0.3149, test_auc: 78.55, test_loss: 0.5531
INFO:root:[37/1000]: train_auc: 96.50, train_loss: 0.3006, test_auc: 78.62, test_loss: 0.5642
INFO:root:[38/1000]: train_auc: 97.08, train_loss: 0.2875, test_auc: 78.64, test_loss: 0.5526
INFO:root:[39/1000]: train_auc: 97.47, train_loss: 0.2723, test_auc: 78.72, test_loss: 0.5706
INFO:root:[40/1000]: train_auc: 97.89, train_loss: 0.2593, test_auc: 78.75, test_loss: 0.5601
INFO:root:[41/1000]: train_auc: 98.39, train_loss: 0.2453, test_auc: 78.79, test_loss: 0.5564
INFO:root:[42/1000]: train_auc: 98.64, train_loss: 0.2312, test_auc: 78.73, test_loss: 0.5663
INFO:root:[43/1000]: train_auc: 98.95, train_loss: 0.2175, test_auc: 78.86, test_loss: 0.5690
INFO:root:[44/1000]: train_auc: 99.15, train_loss: 0.2053, test_auc: 78.89, test_loss: 0.5671
INFO:root:[45/1000]: train_auc: 99.31, train_loss: 0.1931, test_auc: 78.84, test_loss: 0.5779
INFO:root:[46/1000]: train_auc: 99.46, train_loss: 0.1816, test_auc: 78.85, test_loss: 0.5918
INFO:root:[47/1000]: train_auc: 99.56, train_loss: 0.1717, test_auc: 78.87, test_loss: 0.5820
INFO:root:[48/1000]: train_auc: 99.69, train_loss: 0.1608, test_auc: 78.87, test_loss: 0.5989
INFO:root:[49/1000]: train_auc: 99.76, train_loss: 0.1506, test_auc: 78.89, test_loss: 0.5966
INFO:root:exec time: 15 s, best_auc: 78.89
INFO:root:=================================
INFO:root:6: ANAC004_col_a
INFO:root:[1/1000]: train_auc: 76.79, train_loss: 0.6386, test_auc: 82.32, test_loss: 0.5548
INFO:root:[2/1000]: train_auc: 83.10, train_loss: 0.5100, test_auc: 85.39, test_loss: 0.4843
INFO:root:[3/1000]: train_auc: 86.40, train_loss: 0.4503, test_auc: 87.97, test_loss: 0.4249
INFO:root:[4/1000]: train_auc: 88.77, train_loss: 0.3967, test_auc: 89.56, test_loss: 0.3818
INFO:root:[5/1000]: train_auc: 90.39, train_loss: 0.3594, test_auc: 90.62, test_loss: 0.3561
INFO:root:[6/1000]: train_auc: 91.55, train_loss: 0.3353, test_auc: 91.32, test_loss: 0.3374
INFO:root:[7/1000]: train_auc: 92.52, train_loss: 0.3169, test_auc: 91.77, test_loss: 0.3302
INFO:root:[8/1000]: train_auc: 93.09, train_loss: 0.3041, test_auc: 92.12, test_loss: 0.3220
INFO:root:[9/1000]: train_auc: 93.70, train_loss: 0.2926, test_auc: 92.38, test_loss: 0.3172
INFO:root:[10/1000]: train_auc: 94.23, train_loss: 0.2817, test_auc: 92.63, test_loss: 0.3144
INFO:root:[11/1000]: train_auc: 94.68, train_loss: 0.2729, test_auc: 92.87, test_loss: 0.3101
INFO:root:[12/1000]: train_auc: 95.15, train_loss: 0.2630, test_auc: 92.97, test_loss: 0.3113
INFO:root:[13/1000]: train_auc: 95.45, train_loss: 0.2556, test_auc: 93.15, test_loss: 0.3088
INFO:root:[14/1000]: train_auc: 95.95, train_loss: 0.2439, test_auc: 93.23, test_loss: 0.3134
INFO:root:[15/1000]: train_auc: 96.24, train_loss: 0.2358, test_auc: 93.42, test_loss: 0.3158
INFO:root:[16/1000]: train_auc: 96.56, train_loss: 0.2273, test_auc: 93.42, test_loss: 0.3105
INFO:root:[17/1000]: train_auc: 96.90, train_loss: 0.2174, test_auc: 93.48, test_loss: 0.3177
INFO:root:[18/1000]: train_auc: 97.14, train_loss: 0.2100, test_auc: 93.43, test_loss: 0.3185
INFO:root:[19/1000]: train_auc: 97.35, train_loss: 0.2031, test_auc: 93.53, test_loss: 0.3261
INFO:root:[20/1000]: train_auc: 97.50, train_loss: 0.1973, test_auc: 93.58, test_loss: 0.3208
INFO:root:[21/1000]: train_auc: 97.80, train_loss: 0.1868, test_auc: 93.55, test_loss: 0.3286
INFO:root:[22/1000]: train_auc: 97.93, train_loss: 0.1815, test_auc: 93.54, test_loss: 0.3377
INFO:root:[23/1000]: train_auc: 98.10, train_loss: 0.1749, test_auc: 93.52, test_loss: 0.3443
INFO:root:[24/1000]: train_auc: 98.27, train_loss: 0.1682, test_auc: 93.47, test_loss: 0.3427
INFO:root:[25/1000]: train_auc: 98.40, train_loss: 0.1615, test_auc: 93.46, test_loss: 0.3435
INFO:root:exec time: 20 s, best_auc: 93.58
INFO:root:=================================
INFO:root:7: ANAC005_col_a
INFO:root:[1/1000]: train_auc: 81.44, train_loss: 0.6013, test_auc: 86.36, test_loss: 0.4762
INFO:root:[2/1000]: train_auc: 86.70, train_loss: 0.4527, test_auc: 88.06, test_loss: 0.4258
INFO:root:[3/1000]: train_auc: 88.49, train_loss: 0.4091, test_auc: 89.50, test_loss: 0.3881
INFO:root:[4/1000]: train_auc: 89.98, train_loss: 0.3715, test_auc: 90.62, test_loss: 0.3558
INFO:root:[5/1000]: train_auc: 91.12, train_loss: 0.3419, test_auc: 91.28, test_loss: 0.3372
INFO:root:[6/1000]: train_auc: 92.00, train_loss: 0.3218, test_auc: 91.75, test_loss: 0.3228
